,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2019-10-25,59.650413513183594,174.53469848632812,88.06649780273438,110.69065856933594,335.86004638671875,125.65404510498047,149.82489013671875,40.439632415771484,95.04811096191406,129.1020965576172,38.97016143798828,189.42434692382812,207.5419158935547,154.75535583496094,102.21446228027344,49.530303955078125,111.84786224365234,109.73950958251953,46.03801727294922,173.2689666748047,113.08321380615234,67.4271240234375,134.41824340820312,86.05192565917969,109.58007049560547,116.47071838378906,227.5550079345703,171.7166290283203,46.53321075439453,36.730316162109375
2019-10-28,60.247928619384766,176.21939086914062,88.85399627685547,110.99016571044922,336.89776611328125,125.9508285522461,154.10586547851562,40.67243957519531,94.89591979980469,128.7371826171875,39.533714294433594,192.5367431640625,209.68484497070312,155.70213317871094,102.61442565917969,49.793495178222656,112.5711441040039,110.15747833251953,45.883846282958984,170.74928283691406,115.1053695678711,67.37793731689453,137.72303771972656,85.98567962646484,109.7845687866211,115.46166229248047,229.54339599609375,173.63796997070312,46.38676452636719,36.78585433959961
2019-10-29,58.854522705078125,179.64047241210938,88.135498046875,109.90441131591797,344.8537292480469,127.09285736083984,154.404541015625,40.73280715942383,94.61559295654297,127.70160675048828,39.74987030029297,192.43948364257812,207.3294219970703,156.1349334716797,100.99185943603516,49.4250373840332,112.51886749267578,110.08780670166016,45.746803283691406,171.49716186523438,114.93516540527344,69.75502014160156,136.42405700683594,84.49974060058594,109.89126586914062,115.13125610351562,234.4120635986328,171.5042266845703,46.39447784423828,36.14714431762695
2019-10-30,58.84726333618164,181.2650604248047,88.99949645996094,110.51280212402344,342.0172424316406,126.20259857177734,157.58045959472656,41.00871658325195,93.19792175292969,127.8199691772461,39.394752502441406,190.82139587402344,209.18896484375,157.43338012695312,102.0710678100586,49.65312194824219,115.76057434082031,109.47828674316406,46.20076370239258,175.2989044189453,114.63557434082031,70.67305755615234,138.12420654296875,85.36101531982422,111.08263397216797,115.8902816772461,236.7441864013672,173.068359375,46.88008117675781,36.44028091430664
2019-10-31,60.17778015136719,183.30223083496094,88.83300018310547,109.77338409423828,335.9391174316406,123.91846466064453,155.79835510253906,40.965599060058594,93.02169799804688,128.13555908203125,38.977882385253906,188.67279052734375,207.71908569335938,155.74720764160156,100.92394256591797,49.59171676635742,115.06343841552734,108.7729721069336,46.620460510253906,175.1297607421875,112.33431243896484,71.0337142944336,136.9398193359375,84.7552719116211,110.7003402709961,117.0333023071289,234.79298400878906,172.69178771972656,46.61030197143555,36.181087493896484
2019-11-01,61.88566970825195,187.3422088623047,89.5719985961914,111.51433563232422,341.1574401855469,129.9345703125,159.03399658203125,40.551727294921875,93.07777404785156,130.92669677734375,40.382904052734375,192.21844482421875,210.1630096435547,158.80393981933594,102.28239440917969,49.57416915893555,114.3314437866211,111.28072357177734,46.166507720947266,172.67242431640625,115.806640625,69.62387084960938,137.2741241455078,84.40509796142578,110.1313247680664,116.72967529296875,234.3377227783203,174.69041442871094,46.53321075439453,36.29217529296875
2019-11-04,62.29207992553711,184.29933166503906,90.23300170898438,111.9636001586914,346.9884948730469,132.11976623535156,156.90345764160156,40.939720153808594,97.37085723876953,131.09437561035156,41.81880569458008,194.41131591796875,208.02008056640625,162.30242919921875,103.89740753173828,50.53916549682617,113.48613739013672,112.16886901855469,45.515541076660156,167.97140502929688,119.08158111572266,68.77140045166016,138.06690979003906,85.04867553710938,105.86368560791016,116.26532745361328,233.4457550048828,172.77870178222656,46.147823333740234,36.2767448425293
2019-11-05,62.20257568359375,184.87525939941406,90.08550262451172,111.16798400878906,354.1044006347656,131.62515258789062,157.45101928710938,41.1811637878418,97.66720581054688,129.64454650878906,41.84197235107422,193.32373046875,205.61158752441406,162.91555786132812,104.06343078613281,50.48652267456055,113.6517105102539,112.4126968383789,44.89884567260742,171.10543823242188,119.33348846435547,67.96812438964844,137.98097229003906,85.06761932373047,105.71253967285156,117.2208023071289,232.56309509277344,170.2876739501953,45.86262512207031,36.67477035522461
2019-11-06,62.22917175292969,186.00985717773438,89.78849792480469,112.02912139892578,350.05230712890625,130.8337860107422,158.22756958007812,41.620914459228516,96.03327178955078,129.467041015625,41.90372085571289,193.129150390625,207.21434020996094,163.0327911376953,104.735107421875,50.80848693847656,114.12228393554688,112.58685302734375,45.224327087402344,172.88612365722656,118.46881103515625,68.23860931396484,137.59886169433594,84.68904113769531,106.97504425048828,118.18524932861328,232.7674560546875,170.67388916015625,46.34823226928711,36.87224578857422
2019-11-07,62.9473876953125,187.3765869140625,89.41000366210938,113.51736450195312,355.1966857910156,132.20069885253906,158.7950439453125,41.750247955322266,97.62715911865234,131.13381958007812,43.077152252197266,197.43528747558594,206.26681518554688,161.99583435058594,105.13980865478516,51.20543670654297,114.5318603515625,113.19637298583984,44.78750228881836,171.90672302246094,118.82284545898438,67.93533325195312,137.7899169921875,85.55975341796875,106.3526840209961,118.77457427978516,238.28651428222656,172.276611328125,46.65654373168945,37.09749221801758
2019-11-08,63.11967849731445,190.05841064453125,89.29399871826172,113.6951904296875,348.92401123046875,133.23484802246094,160.39793395996094,42.10377502441406,96.85824584960938,136.06515502929688,43.223838806152344,197.0993194580078,206.1782684326172,163.3934783935547,105.07872772216797,51.39950180053711,115.90001678466797,113.52725219726562,44.71897506713867,172.3786163330078,117.89005279541016,68.51730346679688,139.41368103027344,85.00133514404297,106.42381286621094,119.02464294433594,238.7604522705078,172.79798889160156,45.74700164794922,36.853736877441406
